,hs,wind_speed,wind_dir,picks_period,avg_period
49377,2.9,1.2,1,7.0,6.12
49378,2.9,1.1,1,7.0,6.11
49379,2.9,1.0,1,6.99,6.09
49380,2.8,1.0,1,6.98,6.06
49381,2.8,0.9,1,6.96,6.02
49382,2.7,0.7,1,6.93,5.97
49383,2.7,0.6,1,6.9,5.92
49384,2.6,0.6,1,6.86,5.87
49385,2.6,0.5,1,6.79,5.81
49386,2.5,0.4,1,6.69,5.75
49387,2.4,0.3,1,6.54,5.68
49388,2.4,0.1,1,6.45,5.61
49389,2.3,0.0,1,6.39,5.55
49390,2.2,9.8,1,6.34,5.48
49391,2.1,9.7,1,6.29,5.4
49392,2.1,9.6,1,6.22,5.32
49393,2.0,9.5,1,6.11,5.24
49394,2.0,9.4,1,5.95,5.17
49395,1.9,9.4,1,5.87,5.1
49396,1.9,9.4,1,5.82,5.05
49397,1.8,9.3,1,5.79,5.01
49398,1.8,9.3,1,5.77,4.98
49399,1.8,9.2,1,5.75,4.96
49400,1.7,9.0,1,5.73,4.93
49401,1.7,8.8,1,5.71,4.9
49402,1.6,8.6,1,5.68,4.86
49403,1.6,8.4,1,5.63,4.82
49404,1.5,8.1,1,5.54,4.76
49405,1.4,7.8,1,5.43,4.71
49406,1.3,7.6,1,5.36,4.65
49407,1.2,7.2,1,5.31,4.59
49408,1.2,6.8,1,5.27,4.53
49409,1.1,6.5,1,5.21,4.46
49410,1.0,6.2,1,5.13,4.39
49411,0.9,6.1,1,5.01,4.33
49412,0.8,6.0,1,4.9,4.27
49413,0.7,5.8,1,4.83,4.22
49414,0.6,5.7,1,4.78,4.19
49415,0.6,5.5,1,4.73,4.17
49416,0.5,5.2,1,4.7,4.15
49417,0.5,5.0,1,4.67,4.14
49418,0.5,4.7,1,4.64,4.14
49419,0.4,4.5,1,4.61,4.14
49420,0.4,4.3,1,4.58,4.14
49421,0.4,4.2,1,4.54,4.15
49422,0.4,4.1,1,4.55,4.15
49423,0.3,4.1,1,4.58,4.15
49424,0.3,4.4,1,4.61,4.15
49425,0.3,4.6,1,4.65,4.14
49426,0.3,4.8,1,4.69,4.12
49427,0.3,5.0,1,4.73,4.06
49428,0.3,5.1,1,4.77,3.96
49429,0.3,5.2,1,4.81,3.8
49430,0.4,5.1,3,3.58,3.62
