,a,b,r
36769,0.33037296629011237,1.1333949128998533,1.106872009156215
36770,0.33037296629011237,1.1255222437125476,1.0978400237499168
36771,0.33037296629011237,1.118312749082545,1.0901817484116387
36772,0.33037296629011237,1.1112598317452502,1.0825041849660284
36773,0.33037296629011237,1.0069123868525585,0.97782544472391
36774,0.33037296629011237,0.9551174899894026,0.9248277724804791
36775,0.33037296629011237,0.901359337661817,0.8732778189976328
36776,0.33037296629011237,0.8421831391628221,0.8140873728493937
36777,0.33037296629011237,0.798273823630467,0.7751018588198108
36778,0.33037296629011237,0.7549893412323421,0.7321768418097409
36779,0.33037296629011237,0.7238027850436028,0.702467480830158
36780,0.33037296629011237,0.6968786834950995,0.6754265961806777
36781,0.33037296629011237,0.6839241821050579,0.6628767932545122
36782,0.33037296629011237,0.6683117631805495,0.6468832438665485
36783,0.33037296629011237,0.6506529464708042,0.629638936993801
36784,0.33037296629011237,0.6312703321056583,0.6106858544446875
36785,0.33037296629011237,0.611042313455789,0.5890871298385661
36786,0.33037296629011237,0.5930232240868052,0.5699582700466309
36787,0.33037296629011237,0.5830980558085779,0.5607338961982254
36788,0.33037296629011237,0.5669987555582119,0.5429645109842957
36789,0.33037296629011237,0.5577203126675234,0.5335357989783157
36790,0.33037296629011237,0.5505652882579657,0.5270515552675786
36791,0.33037296629011237,0.5320993939854088,0.5044450264136299
36792,0.33037296629011237,0.5233484416988614,0.4955795989217623
36793,0.33037296629011237,0.5147347427607613,0.4871471394339024
36794,0.33037296629011237,0.5100341296777108,0.4833771742413919
36795,0.33037296629011237,0.4983167997798035,0.47225353155786
36796,0.33037296629011237,0.4825527580575495,0.4568579491748569
36797,0.33037296629011237,0.4004680912288936,0.3749197210178211
36798,0.33037296629011237,0.3479152471758251,0.32142822324512854
36799,0.33037296629011237,0.2946856342516272,0.26795061848993496
36800,0.33037296629011237,0.24833047717797618,0.2221220312547194
36801,0.33037296629011237,0.20999006109736917,0.18385571631389774
36802,0.33037296629011237,0.18169306868963508,0.1554495704882708
36803,0.33037296629011237,0.1672178395902557,0.14294019714407746
36804,0.33037296629011237,0.16451155092944014,0.14182434334991478
36805,0.33037296629011237,0.16202805297727585,0.14001336061340497
36806,0.33037296629011237,0.16878260032690606,0.1475208554174079
36807,0.33037296629011237,0.17523708996288256,0.15231871680596576
36808,0.33037296629011237,0.19287490788549555,0.16910154925608978
36809,0.33037296629011237,0.22485894234798798,0.20254687649045056
36810,0.33037296629011237,0.2567581556171684,0.23053633155050768
36811,0.33037296629011237,0.3029026686378894,0.27756055935892265
36812,0.33037296629011237,0.3313364700729071,0.30373207971337546
36813,0.33037296629011237,0.37284792643125586,0.3392260367489838
36814,0.33037296629011237,0.3958355022127169,0.3596547229148791
36815,0.33037296629011237,0.46978122509263665,0.436498950256751
36816,0.33037296629011237,0.5570666639077226,0.5296860641658349
36817,0.33037296629011237,0.5719752050148015,0.5465082323464502
36818,0.33037296629011237,0.5759085927854899,0.5499701839847903
36819,0.33037296629011237,0.5824410851183726,0.5575571350331116
36820,0.33037296629011237,0.5810116509601251,0.5567513211776148
36821,0.33037296629011237,0.4277931032644736,0.40122788004488186
36822,0.33037296629011237,0.5017431932450821,0.4801236226835862
36823,0.33037296629011237,0.6502698151793826,0.6345704882051876
36824,0.33037296629011237,0.6238222776827413,0.6078591940430792
36825,0.33037296629011237,0.5847609965344192,0.5633565741695575
36826,0.33037296629011237,0.5612182108767552,0.5400902343985418
